company_name,position_name,position_description,skills
EY Deutschland,Berater SIEM - Cybersecurity (w/m/d),"Deine Aufgaben: Als Berater bist du Teil eines international vernetzten Cyber‑Teams und gestaltest aktiv die Managed Detection and Response Projekte der nächsten Generation. Du unterstützt unsere Kund:innen dabei, Cyberbedrohungen nicht nur zu erkennen, sondern ihnen proaktiv, automatisiert und intelligent zu begegnen – von der Strategie bis zur technischen Umsetzung. An einem unserer deutschlandweiten Standorte übernimmst du u. a. folgende Aufgaben: Technik und hands-on: Du designst, implementierst und betreibst SIEM und EDR Systeme marktführender Hersteller Beratung auf Augenhöhe: Du unterstützt Kund:innen bei Aufbau und Optimierung von Detektionsstrategien, Use Cases und SOC‑Prozessen – von klassischer Defensive Security bis hin zu KI-basierten Ansätzen Automatisierung & Einsatz von KI: Du entwickelst Prozesse zusammen mit unseren Kund:innen weiter. Du nutzt innovative Lösungen wie SOAR‑Plattformen, KI‑gestützte Analysen und „Detection as Code“ Aufbau und Weiterentwicklung unseres Service-Portfolios: Du nimmst Einfluss auf die Berücksichtigung digitaler Trends und innovativer Sicherheitslösungen wie Zero Trust, Security by Design, IT/OT Convergence sowie künstlicher Intelligenz in unserem Angebot Business Development: Du beteiligst dich aktiv im Vertrieb, führst Kundenpräsentation durch und begleitest Kundentermine als fachlicher Experte",Artificial Intelligence (AI);Consulting;Penetrationstest;Splunk;Zero Trust
Tata Consultancy Services Deutschland GmbH,SAP Central Finance Consultant (all genders),"Tata Consultancy Services Deutschland GmbHTata Consultancy Services Deutschland GmbHSAP Central Finance Consultant (all genders)bundesweitCloud ComputingConsultantConsultingSAPSAP HANAUser Experience Design (UX)TopJetzt bewerbenStandort: deutschlandweit Startdatum: ab sofortGestalten Sie Ihre IT-Karriere und werden Sie Teil eines internationalen Teams mit Tata Consultancy Services (TCS) Deutschland GmbH.Als Teil der Tata-Gruppe, Indiens größter multinationaler Unternehmensgruppe, beschäftigt TCS über 600.000 der weltweit bestausgebildeten Consultants in 55 Ländern. In Deutschland und Österreich arbeitet TCS derzeit mit über 100 Kunden an deren digitalen Transformationsprojekten zusammen, darunter mehr als 20 Dax-40-Unternehmen und zahlreiche kleine und mittelständische Unternehmen. In Deutschland arbeiten rund 3000 Beschäftigte an neun Standorten für TCS.Über die TCS SAP Practice:Unser Team besteht aus vielen erfahrenen SAP-Expert*innen, welche sich auf SAP-Angebote der nächsten Generation konzentrieren, wie z.B. Digital Core – S/4HANA, Cloud First Lösungen, Cognitive Automation, Conversational UX, etc.TCS hat eine einzigartige Beziehung zu der SAP SE. TCS und SAP beteiligen sich an Co-Innovation und gemeinsamen Go-To-Market Aktivitäten. Auf diese Weise erhalten die TCS-Berater*innen frühzeitig einen Einblick in neue SAP-Produkte. Die digital geprägte Umgebung der TCS SAP Practice und interessante Projekte bieten ein ideales Umfeld für die Mitarbeitenden, um ihr Wissen kontinuierlich zu erweitern und immer zukunftsfähig zu sein.Das erwartet SieBegleitung von Kunden bei ihren Transformationsbedürfnissen in Bezug auf das Finanzwesen auf Basis von SAP S/4HANAProaktive Zusammenarbeit mit bestehenden und potenziellen Kunden für ihre hochrangige Architektur- und GeschäftsvorteilsberatungFühren Sie das Team von Finanz-Experten zur Durchführung von ProjektenArbeit in einem integrierten und diversifizierten globalen TeamErweitern Sie Ihr Wissen zu neuen Trends und TechnologienDas bringen Sie mitAbgeschlossenes Hochschulstudium im Bereich der Informatik, BWL, Wirtschaftsinformatik oder einem vergleichbaren FachgebietFundiertes Verständnis der SAP Central Finance Capabilities mit mindestens einer ProjekterfahrungFinance Lead / Architect Erfahrung in SAP S/4HANA Finance TransformationIntegration und Abhängigkeiten des Finanzwesens mit anderen SAP- und Non-SAP-CallabilityAusgezeichnete Kommunikations- und KundenkontaktfähigkeitenSelbstgesteuerte und proaktive Arbeitsei",Cloud Computing;Consultant;Consulting;User Experience Design (UX)
conmeet,Customer Support Specialist (m/w/d) für Handwerks-Digitalisierungsplattform,"Deine Hauptaufgaben: Erstklassiger technischer Support über verschiedene Kanäle (Chat, E-Mail, Telefon) Onboarding neuer Kunden und Begleitung durch die ersten Schritte Analyse und Lösung von Software-Problemen in Zusammenarbeit mit dem Development-Team Erstellung und Pflege von Hilfedokumentationen und FAQ-Bereichen Kundenfeedback sammeln und an das Produktteam weiterleiten Proaktive Kundenbetreuung und Identifikation von Optimierungspotentialen | Deine fachlichen Anforderungen: Erfahrung im technischen Kundensupport, idealerweise im Software-Bereich Kommunikationsstärke und Empathie im Umgang mit verschiedenen Kundentypen Technisches Verständnis und Fähigkeit, komplexe Sachverhalte einfach zu erklären Problemlösungsorientierung und analytisches Denken Deutsche Sprache flüssig in Wort und Schrift",Software as a Service (SaaS);Support
PROMOS consult,SAP Developer (m/w/d) - SAP ABAP oder Web,"PROMOS consultPROMOS consultSAP Developer (m/w/d) - SAP ABAP oder WebBerlin, Dortmund, KasselHome-OfficeABAPDeveloperSAPSAP ABAPSAP HANASAP S/4HANA +1Jetzt bewerbenWenn du Spaß hast an ...der Entwicklung neuer Systemkomponenten und Applikationen auf Basis offener Standards und aktueller SAP-Technologien,aktiver Mitgestaltung unserer Produkte und Systemarchitekturen mit Komponenten im eigenen Rechenzentrum und in der Cloud,der Konzeption und Implementierung kundenspezifischer Lösungen bis hin zur eigenverantwortlichen Übernahme von Aufgaben in unseren Entwicklungsprojekten,der Qualitätssicherung unserer SAP- und PROMOS.GT-Lösungen für das Immobilienmanagement,Und du ...ein abgeschlossenes Studium der Informatik, Wirtschaftsinformatik hast oder eine vergleichbare Qualifikation besitzt,idealerweise Kenntnisse in einem der einschlägigen Themen JavaSricpt, ABAP, S4HANA vorweisen kannst,offen für die Arbeit mit neuen und innovativen Technologien bist,von Teamwork begeistert bist und Wert auf ein wertschätzendes Miteinander legst,Fließendes Deutsch in Wort und Schrift,Dann bekommst du bei uns ...flexible Arbeitszeiten und die Möglichkeit zu arbeiten, wo du möchtest: entweder in unseren attraktiven Büroräumen, im Home-Office oder mobiles Arbeiten in und außerhalb Deutschlands (bis auf drei Monate begrenzt).30 Tage Urlaub, eine 39 Stunden-Woche bei Vollzeit oder individuelle Teilzeitmodelle.ein faires und branchenorientiertes Gehalt, das deiner Erfahrung und Qualifikation entspricht.ein ausgewogenes Programm rund um health@PROMOS, wie z.B. eine Urban Sports-Mitgliedschaft, JobRad, monatliche Gesundheitsangebote und Zuschuss zur Arbeitsplatzbrille,regelmäßige Teamevents sowie jährliche Sommer- und Weihnachtsfeste.weitere Benefits, die PROMOS zum Great Place to Work machen.Jetzt bewerbenJob-InfosBerufsfelderAnwendungsentwicklungStudienfächerInformatikInformationstechnikWirtschaftsinformatikAbschlussBachelorMaster/DiplomUnternehmenPROMOS consultProfil3 IT-JobsIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsEVIDENT GmbHSoftwareentwickler (m/w/d) Bad Kreuznach AnwendungsentwicklungDr. Güldener GruppeSoftwareentwickler (m/w/d) Java / Angular – Backend & Microservices Stuttgart Webentwicklung +1ERGOExperte für Produktentwicklung - Java für Kafka Data Streaming Platform (m/w/d) Düsseldorf AnwendungsentwicklungDeichmannSenior Android Entwickler (m/w/d) Essen AnwendungsentwicklungTRUMPFEmbedded Linux Developer (m/w/d) Schramberg",Developer;Java;Angular;Apache Kafka;Linux;Microservices;Site Reliability Engineering
PTA,Hochschulabsolvent - Berufseinsteiger als IT-Berater / Software-Entwickler (m/w/d),"Ihre Aufgaben: Als Absolvent werden Sie: Im Rahmen unseres Dienstleistungsportfolios die verschiedenen Phasen des Software-Lebenszyklus begleiten Verschiedene Rollen und Tätigkeiten innerhalb von Kundenprojekten übernehmen und dabei die fachliche und technische Welt vereinen Geschäftsprozesse unserer Kunden analysieren, verstehen und dokumentieren Die Implementierung der Kundenanforderungen unterstützen und dabei verschiedene Programmiersprachen, Frameworks und Technologien einsetzen | Ihr Profil: Als Absolvent sollten Sie mitbringen: Ein abgeschlossenes Studium im Fachbereich (Wirtschafts-)Informatik oder vergleichbar Erste praktische Programmiererfahrung durch Praktika oder Werkstudententätigkeit in einer der gängigen Programmiersprachen, z.B. Java, C#.NET, Python Den Wunsch nach direktem Kundenkontakt und dem Ausbau Ihrer praktischen Programmiererfahrung Flexibilität, sich in verschiedene Kundenanforderungen einzuarbeiten – fachlich wie technisch Interesse an KI-Tools, um diese unterstützend in Ihrem Arbeitsalltag einzusetzen und dabei die geltenden rechtlichen Anforderungen (z. B. EU‑AI‑Act, Datenschutz, Compliance) zu berücksichtigen Prinzipielle Reisebereitschaft (3 Tage/Woche), abhängig von der Kundensituation Sehr gute Deutschkenntnisse in Wort und Schrift und gute Englischkenntnisse",.NET;Anwendungsentwicklung;Consultant;Consulting;Java;Python
Fast Lane,Junior IT-Trainer (m/w/d),"Deine Aufgaben: Wir bilden Dich als IT-Trainer für zukunftsweisende Technologien unter anderem in den Bereichen Artificial Intelligence (AI), Cloud, Cyber Security, Wireless & Mobility sowie zudem IT- und Projektmanagement aus Du bist daran beteiligt wichtige Zukunftstechnologien weiterzuentwickeln und erhältst zudem die Möglichkeit zahlreiche international anerkannte Zertifizierungen abzuschließen (z.B. Cisco CCNA/CCNP, AWS Solution Architect, Microsoft Certified Expert, Google Cloud Certified Associate u.v.m) Du erlangst ein übergreifendes Verständnis für komplexe Lösungen mit Produkten und Technologien verschiedener Hersteller wie bspw. Microsoft, NetApp, AWS, Cisco, VMware, etc. Du bereitest IT-Trainings vor und führst diese im gesamten deutschsprachigen Raum durch Du bist aktiv in die Entwicklungsarbeit neuer Kursinhalte involviert und wirst bei Projekten unserer Beratungskunden eingesetzt Du hältst Dich selbst stets auf dem neusten Stand der Technologien",CCNA;Cloud Computing;Consultant;Consulting;DevOps;Google Cloud;VMware
BCG Platinion,Consultant Cybersecurity (all genders),"BCG PlatinionBCG PlatinionConsultant Cybersecurity (all genders)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Köln, München +1ConsultantConsultingISO 27001MonitoringRisk / Compliance Management (IT)TopJetzt bewerbenAls integrierter Teil der Boston Consulting Group platzieren wir bei BCG Platinion Cybersecurity als eine zentrale Komponente der Unternehmensstrategie und schaffen innovative und praktikable Lösungen, die auf die Herausforderungen der digitalen Transformation bei unseren Kunden Antworten liefern. Als Consultant Cybersecurity (all genders) bist du aktiv in nationalen und internationalen Kundenprojekten unterschiedlicher Praxisgruppen eingebunden und unterstützt den Aufbau unseres Cybersecurity-Teams an einem unserer Standorte in Berlin, München, Köln, Düsseldorf, Hamburg, Frankfurt oder Stuttgart, um unsere ambitionierten Wachstumsziele voranzutreiben.Präge die Welt von morgenDu schaffst Projekte mit wegweisender Strahlkraft, indem du modernste Cybersecurity-Ansätze und -Methoden verstehst und nutzt, um maßgeschneiderte Konzepte und Lösungen für unsere Kunden zu entwickelnDu gestaltest die Digitalisierungsvorhaben global führender Unternehmen, dabei bewahrst du einen klaren Blick für die organisatorische und technische Gesamtlösung im Bereich Cybersecurity und die individuellen Gegebenheiten des KundenDu führst Cybersecurity-Assessments durch, analysierst Risiken und entwickelst eine Roadmap, um die Kundenumgebung dem Schutzbedarf entsprechend abzusichernDu unterstützt die Entwicklung von Cybersecurity-Strategien, Policies, Prozesse und Verfahren zum Schutz der internen Infrastruktur unserer KundenDu unterstützt das Design und die Entwicklung von modernen Cybersecurity-ArchitekturenDu machst den UnterschiedDu hast erfolgreich ein Studium der (Wirtschafts-)Informatik oder einem verwandten Bereich überdurchschnittlich gut abgeschlossenDu hast schon mindestens zwei Jahre relevante Erfahrung im Cybersecurity- Umfeld sammeln können, idealerweise in einer IT-BeratungDu kennst verschiedene Cybersecurity-Frameworks (ISO/IEC 27000 Standards, NIST Cybersecurity Framework, COBIT etc.)Du verfügst über praktische Erfahrung und Kenntnisse in den meisten der folgenden Bereiche: Entwicklung von Cybersecurity-Policys oder -Strategien, Durchführung von Security-Assessments, Entwicklung von Security-Architekturen, Cyber-Supply-Chain Risikomanagement / Risikomanagement von Drittanbietern, Identitäts- und Zugriffsverwaltung, Continuous Monitoring, Schwachstellenbe",Consultant;Consulting;ISO 27001;Monitoring;Risk / Compliance Management (IT)
MWAY,Research Engineer AI (m/w/d),"Deine Aufgaben: Du hast Spaß daran smarte Software zu entwickeln, die echten Mehrwert schafft? KI-Technologien faszinieren dich, sodass du dich in der Research verlieren kannst und du arbeitest gerne mit modernen Tools und Frameworks? Dann bist du bei uns genau richtig! Mit One/AI bieten wir eine maßgeschneiderte, sichere und intuitive Lösung für Unternehmen, die KI in bestehende Systeme integriert und dabei DSGVO-konform ist. Als Research Engineer AI entwickelst du moderne Anwendungen und bringst gemeinsam mit einem motivierten, interdisziplinären Team unsere KI-Vision voran. Du setzt spannende ML Engineering-Probleme und State-of-the-Art-Paper in unternehmensrelevante Anwendungen um Du bist am Puls der Zeit in Sachen KI-Entwicklung und bleibst stets up-to-date zu neuen, smarten Technologien Du schreibst sauberen, wartbaren Code nach modernen Standards Du wirkst an CI/CD-Pipelines mit und baust automatisierte Tests auf | Dein Profil: Du hast 2–5 Jahre Erfahrung in der Softwareentwicklung (idealerweise mit AI-Fokus) Deine Wissbegierde kennt keine Grenzen – es macht dir Spaß, dich in Themen zu vertiefen und neue Trends, Tools und Technologien genauer unter die Lupe zu nehmen Du hast Erfahrung mit Python und bist vertraut mit agilen Methoden wie Scrum oder Kanban Du hast Erfahrung mit den wesentlichen ML-Tools wie PyTorch, Tensorflow oder ClearML und verfügst über ein solides Backend-Know-how",Agile Methoden;Artificial Intelligence (AI);Forschung;Kanban;Machine Learning;Python;TensorFlow;PyTorch;Microsoft Visio;Scrum;Site Reliability Engineering
GAMOMAT,Initiativbewerbung (all genders welcome) - Berlin oder 100% remote,"GAMOMATGAMOMATInitiativbewerbung (all genders welcome) - Berlin oder 100% remotebundesweitHome-OfficeAmazon Web Services (AWS)CSSDevOpsGolangJavaJavaScript +11Jetzt bewerbenGAMOMAT ist ein deutsches Entwicklungsstudio für iGaming Produkte. Die Unternehmensgruppe wurde 2008 gegründet. Neben dem geschäftsführenden Inhaber Dietmar Hermjohannes komplettiert Dr. Alexandra Krone seit 2021 die Geschäftsführung als Managing Director mit einem Fokus auf People & Culture. Aktuell sind über 150 veröffentlichte Slots in über 30 Ländern und 29 Sprachen online spielbar. GAMOMAT ist im Real-Money-und Social-Casino-Bereich tätig. Bei GAMOMAT wird Good Work ebenso gelebt wie Corporate Social Responsibility. GAMOMAT wurde mehrfach mit HR-Awards ausgezeichnet – unter anderem zuletzt 2025 von Great Place to Work® als einer der besten Arbeitgeber Deutschlands, Berlin-Brandenburgs sowie der ITK-Branche. Ein herausragendes Team aus rund 100 Mitarbeiter:innen liebt und lebt Spiele.Das machst du:Die GAMOMAT wächst weiter und sucht darum immer diverse Talente im Bereich Software Entwicklung. Konkret suchen wir in 2025 Kandidat*innen aus den BereichenSoftware Entwickler - Schwerpunkte GOLANG, Java, KotlinSoftware Entwickler - Schwerpunkte JavaScript. TypeScript, React.js, CSSDevOps Engineer (AWS, Terraform, Kubernetes)QA Engineer (Browserstack, Playwright)Systemadministration (Mac & Windows Support)Das bist du:Du bist kommunikationsstark und empathisch im Kontakt mit unterschiedlichen Persönlichkeiten.Du verfügst über einen hohen Grad an Selbstorganisation und Selbstreflektion für die Arbeit innerhalb eines hybriden, kollaborativen Arbeitsmodells.Du hast eine Can-do-Mentalität und bist Feuer und Flamme, Dinge voranzubringen.Du zeichnest dich durch deine selbstständige Arbeitsweise aus und definierst Qualität als Erfolgsfaktor.Du schreibst und sprichst sehr gutes Deutsch (C1) und gutes Englisch.Das gefällt dir:Gelebte Unternehmenswerte in einem kollaborativen Arbeitsumfeld.Nachhaltiges Unternehmenswachstum.Hybrides Arbeitsmodell: Höchste Flexibilität in puncto Arbeitszeit und Arbeitsort.Hochwertig ausgestattetes Office in Berlin-Mitte als zentral gelegene Location für Begegnung.Ein herzliches Willkommen im Rahmen eines intensiven, strukturierten Onboardings.Learning & Development in der GAMOcademy.Jährlicher Entwicklungsdialog und zielgerichtete Entwicklungsmaßnahmen.Health Care – betriebliche Krankenversicherung, Mental Health Platform & Bike Leasing.Jetzt bewerbenJob-InfosBerufsfel",CSS;DevOps;TypeScript;Kotlin;React;Kubernetes;Terraform;Playwright
Gambio,Linux Administrator (m/w/d),"Deine Aufgaben: Betreuung der Linux Infrastruktur sowie präzises Monitoring, um stets optimale Leistung zu gewährleisten. Implementierung und kontinuierliche Optimierung automatisierter Prozesse, um Effizienz und reibungslose Abläufe sicherzustellen. Planung und Entwicklung von zukunftsweisenden Konzepten zur nachhaltigen Verbesserung der Infrastruktur. Wartung und Störungsbeseitigung, so dass die Systemstabilität gewahrt und Ausfallzeiten minimiert werden. Enge Zusammenarbeit und Unterstützung angrenzender Unternehmensbereiche. Mitverantwortung für den Betrieb der modernen Rechenzentren und Sicherung von Standards in Bezug auf Sicherheit und Performance. | Dein Profil: Du verfügst über sehr gute Kenntnisse in der Linux-Administration und kennst dich mit CentOS, Debian und Ubuntu aus. Du fühlst dich sicher in Bezug auf Automatisierungsprozesse und weißt mit den Programmen Saltstack, Ansible, Puppet und Terraform etwas anzufangen. In deinem fachlichen Repertoire findet sich mindestens eine der Scriptsprachen Python, Shell oder Perl. Deine Arbeit zeichnet sich durch Struktur und Eigenverantwortlichkeit aus. Du besitzt eine hohe Auffassungsgabe sowie eine analytische Vorgehensweise. Deutsch beherrschst du in Wort und Schrift, gute Englischkenntnisse sind von Vorteil.",Ansible;Perl;Puppet;Python;Terraform
Ascom Deutschland,System Engineer (m/w/d),"Deine Aufgaben: Du integrierst unsere Lösungen in die IT-Systemlandschaft unserer Kunden und wirst der Experte für IT-Sicherheit, mobile Kommunikation, Workflow- und Alarmmanagement-Lösungen und Applikationen zur Prozessoptimierung Du realisierst Kundenprojekte im Bereich Telekommunikations- und Netzwerk-Infrastruktur, Personenabsicherung, sowie Serverinstallationen und Softwareanwendungen Dabei entwirfst, planst und unterstützt Du unsere Kunden bei der Inbetriebnahme und dem Betrieb unserer Ascom Plattformen und Lösungen in ihrer IT-/ Server- und Netzwerk-Infrastruktur Du betreust und berätst unsere Kunden bei der Anbindung von Prozess- Systemen und Anwendungen, sowie der Integration von Anwendungen zur Optimierung des Alarmmanagements und konfigurierst kundenspezifisch IT-Systeme und Software-Lösungen Du arbeitest sehr eng mit Sales, Solution-Design, Workflow Consultants, Projektleitern und anderen Bereichen zusammen, um komplexe Projekte end-to-end zu entwickeln und umzusetzen | Dein Profil: Du hast eine abgeschlossene Ausbildung aus dem Bereich IT / Informatik (IT-Systemelektroniker / Fachinformatiker / Techniker) oder vergleichbar Du begeisterst Dich für innovative Technologien und herausfordernde technische Challenges machen Dir Spaß Du verfügst über einschlägige Berufserfahrungen aus dem IT- oder Telekommunikationsbereich und besitzt gute Kenntnisse im Umfeld von Kommunikationssystemen, -endgeräten und Smart-Devices, verfügst über gute IT-Skills und hast Erfahrungen mit Windows Hard-, Software und Anwendungsinstallationen Du bist sicher im Umgang mit Netzwerk- und VoIP-Anwendungen und verfügst wünschenswert bereits über Kenntnisse von Kommunikationsanwendungen Von Vorteil: Du hast Erfahrung mit ITK-Systemen gängiger Hersteller (avaya, Siemens, Alcatel, Innovaphone, Mitel, Detewe oder vergleichbaren Lösungen) Von Vorteil: Du hast Kenntnisse im Umgang mit Alarmserveranwendungen sowie mit Lichtruf- und Brandmeldesystemen Der Kunde steht für Dich an erster Stelle und Du setzt alles daran, im Team Projekte erfolgreich umzusetzen Du fühlst Dich wohl in Deutsch, aber auch in Englisch mit globalen Funktionen und Kunden sicher zu kommunizieren",Kommunikation;Projektmanagement;System Engineering;Systemadministration
KPS Consulting,SAP Basis Consultant (m/w/d) (mit Erfahrung im Bereich SAP Authorizations Management),"Deine Aufgaben im SAP-Basis und SAP-Berechtigungsumfeld: Administration, Betreuung und Weiterentwicklung komplexer SAP-Systemlandschaften (z. B. SAP S/4HANA, ECC, CAR, Solution Manager) Installation, Konfiguration, Monitoring und Performance-Optimierung von SAP-Systemen Durchführung von Systemkopien, Upgrades, Patches und Releasewechseln Analyse und Behebung von technischen Störungen im SAP-Basis-Umfeld Konzeption, Implementierung und Pflege von Rollen- und Berechtigungskonzepten Analyse und Optimierung bestehender Berechtigungsstrukturen Unterstützung bei Audits sowie Sicherstellung von Compliance-Anforderungen (z. B. SoD) | Was du mitbringst:: Mehrjährige Erfahrung im SAP Basis Umfeld Erfahrung in der SAP Benutzer und Berechtigungsadministration in modernen SAP-Umgebungen wie SAP S/4HANA, SAP Fiori und SAP S/4HANA Public Cloud. Erfahrung mit Datenbanken wie SAP HANA, Sybase, Oracle sowie verschiedenen SAP-Lösungen wie SAP S/4HANA, SAP ERP und SAP CAR. Kenntnisse in den Bereichen Transportmanagement, Benutzerverwaltung und Systemmonitoring Erfahrung im Umgang mit Audit- und Compliance-Anforderungen Strukturierte, analytische Arbeitsweise sowie hohe Problemlösungskompetenz Wünschenswert Kenntnisse in Cloud-Umgebungen (z. B. SAP BTP, RISE with SAP) Kenntnisse im SAP Berechtigungsmanagement, idealerweise mit SAP GRC und Xiting XAMS. Zertifizierungen im SAP-Basis oder Security Umfeld",Consultant;Consulting;Datenbanken;Monitoring
BCG Platinion,Senior Consultant Enterprise Solutions – SAP focus (all genders),"BCG PlatinionBCG PlatinionSenior Consultant Enterprise Solutions – SAP focus (all genders)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Köln, München +1Home-OfficeCloud ComputingConsultantConsultingERPPrototypingRequirements Engineering (RE) +5TopJetzt bewerbenAls Senior SAP S/4HANA-Consultant (all genders) bei BCG Platinion spielst du eine zentrale Rolle bei der Unterstützung von Kunden bei komplexen ERP-Transformationen, mit besonderem Fokus auf SAP S/4HANA. Mit deinem Fachwissen begleitest du unsere Kunden durch den gesamten Projektlebenszyklus, von der Strategie und Planung bis hin zur Implementierung und dem Go-Live, mit einer starken Perspektive auf den Geschäftswert. Du arbeitest gemeinsam mit Kolleg:innen der Boston Consulting Group auf (inter)nationalen Kundenprojekten und berätst bis auf C-Level.Präge die Welt von morgenPlanung, Durchführung und Verwaltung quantitativer und qualitativer Analysen von Geschäftsprozessen, um den Wert für unsere Kunden zu ermittelnEntwicklung und Definition von ERP-Zielarchitekturen für umfassende IT-Landschaften unter Nutzung technologischer Innovationen und Vorwegnahme künftiger TrendsDefinition und Implementierung der Programmorganisation und -steuerung, um das Projekt erfolgreich durchzuführen und den ermittelten geschäftlichen Nutzen der Umgestaltung zu erzielenVerwaltung der Beschaffung von Systemintegrationspartnern und SoftwarelösungenVorbereiten und Fertigstellen von Projektleistungen, einschließlich Berichten, Workshop-Materialien und GeschäftsvorschlägenBewertung laufender ERP-Projekte und -Systeme anhand definierter Geschäftsziele und Qualitätskriterien sowie Entwicklung von Aktionsplänen zur VerbesserungVorantreiben der Implementierung von Wiederherstellungs- und Stabilisierungsmaßnahmen für ERP-ProjekteDu machst den UnterschiedHochschulabschluss in Informatik, Wirtschaftsinformatik, Betriebswirtschaft oder einem verwandten FachgebietMindestens 4 Jahre einschlägige Erfahrung in strategischen ERP/SAP-ProjektenNachgewiesene Erfolgsbilanz im Management von End-to-End-ERP-Transformationen unter Verwendung von Industriestandardansätzen, z. B. SAP activateVertiefte Kenntnisse von SAP S/4HANA und der zugehörigen Unternehmenstechnologie (z. B. Integrationsarchitektur, Cloud-Bereitstellungsoptionen, Erweiterbarkeit der Lösung)Vertrautheit mit SAP-Branchenlösungen und Analysetools wie SAP BW/BI, SAP Analytics CloudAußergewöhnliche analytische und konzeptionelle DenkfähigkeitenStarke Kunden- und Ergebnisorientier",Cloud Computing;Consultant;Consulting;ERP;Prototyping;Requirements Engineering (RE)
Tata Consultancy Services Deutschland GmbH,SAP S4/HANA SuccessFactors Business Consultant (all genders),"Tata Consultancy Services Deutschland GmbHTata Consultancy Services Deutschland GmbHSAP S4/HANA SuccessFactors Business Consultant (all genders)bundesweitHome-OfficeCloud ComputingConsultantConsultingSAPSAP HANASAP SuccessFactorsTopJetzt bewerbenStandort: deutschlandweitStartdatum: ab sofortGestalten Sie Ihre IT-Karriere und werden Sie Teil eines internationalen Teams mit Tata Consultancy Services (TCS) Deutschland GmbH.Als Teil der Tata-Gruppe, Indiens größter multinationaler Unternehmensgruppe, beschäftigt TCS über 600.000 der weltweit bestausgebildeten Consultants in 55 Ländern. In Deutschland und Österreich arbeitet TCS derzeit mit über 100 Kunden an deren digitalen Transformationsprojekten zusammen, darunter mehr als 20 Dax-40-Unternehmen und zahlreiche kleine und mittelständische Unternehmen. In Deutschland arbeiten rund 3000 Beschäftigte an neun Standorten für TCS.Über die TCS SAP Practice:Unser Team besteht aus vielen erfahrenen SAP-Expert*innen, welche sich auf SAP-Angebote der nächsten Generation konzentrieren, wie z.B. Digital Core – S/4HANA, Cloud First Lösungen, Cognitive Automation, Conversational UX, etc.TCS hat eine einzigartige Beziehung zu der SAP SE. TCS und SAP beteiligen sich an Co-Innovation und gemeinsamen Go-To-Market Aktivitäten. Auf diese Weise erhalten die TCS-Berater*innen frühzeitig einen Einblick in neue SAP-Produkte. Die digital geprägte Umgebung der TCS SAP Practice und interessante Projekte bieten ein ideales Umfeld für die Mitarbeitenden, um ihr Wissen kontinuierlich zu erweitern und immer zukunftsfähig zu sein.Das erwartet SieSie beraten und unterstützen unsere Kunden bei der Implementierung und Optimierung von SAP SuccessFactors-Lösungen, insbesondere in den Modulen Employee Central und/oder Employee Central Payroll.Sie leiten Workshops und Schulungen zur Einführung innovativer Funktionen und verbesserter Prozesse.Sie analysieren Kundenanforderungen und entwickeln maßgeschneiderte Lösungen, die sich an bestehende Systemlandschaften anpassen.Sie gewährleisten die reibungslose Integration von SAP SuccessFactors in bestehende HR-Systeme.Sie wirken an Pre-Sales-Aktivitäten mit und unterstützen bei der Ausarbeitung überzeugender, maßgeschneiderter Angebote.Das bringen Sie mitAbgeschlossenes HochschulstudiumMindestens 3 Jahre praktische Erfahrung in der Implementierung und Konfiguration von SAP SuccessFactors-Modulen.Gültige SuccessFactors-Zertifizierungen in relevanten Modulen (z. B. EC, ECP, Zeitmanagement).Ausgeprägte analy",Cloud Computing;Consultant;Consulting
adesso,Consultant Robotics Process Automation (all genders),"Dein Profil: Ausbildung: Du verfügst über ein abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare Qualifikation mit relevanter Praxiserfahrung. RPA-Erfahrung: In RPA- und Automatisierungsprojekten kennst du dich in der Konzeption und Umsetzung von Lösungen für Geschäftsprozesse aus. Fachkompetenz: Mit deinem technischen Know-how in Softwarearchitektur und Programmierung sowie in Requirements Engineering und Prozessmodellierung und in der Durchführung von Workshops bringst du ein breites Kompetenzprofil mit. Berufserfahrung: Mit mindestens 3 Jahren relevanter Berufserfahrung bringst du die notwendige Praxis für diese Rolle mit. KI-Kompetenz: Du setzt KI-Tools in deinem Fachgebiet souverän ein, bewertest die Ergebnisse kritisch und unterstützt Kunden und adessi dabei, Potenziale von KI zu nutzen. Sprachkenntnisse: Deine sehr guten Deutsch- und guten Englischkenntnisse ermöglichen dir eine sichere Kommunikation.",Consultant;Consulting;Digitalisierung;Prozessmodellierung;Requirements Engineering (RE);RPA
